vin,make,model,year,exterior,interior,miles
WAULD54B23N143613,Citroën,CX,1989,Teal,Crimson,183305
3C4PDCBB7FT463767,Buick,Century,1997,Purple,Red,118635
WBA3G7C52EK332586,GMC,1500 Club Coupe,1998,Yellow,Yellow,296695
5GNRNJEE7A8850696,Lincoln,MKX,2012,Red,Maroon,241806
5LMJJ2H53AE715462,Ford,E150,2009,Goldenrod,Red,30695
5NPDH4AE5FH532321,Lincoln,Town Car,1994,Fuscia,Maroon,56968
1GD422CG3EF890980,GMC,Yukon XL 1500,2010,Orange,Maroon,110385
1HGCR6F34FA528328,BMW,530,2004,Maroon,Teal,38668
2C3CDXEJ5CH228771,Audi,S4,2006,Turquoise,Turquoise,151237
WBANW535X9C113603,Buick,Estate,1989,Crimson,Green,43132
WA1YD54B72N154527,Dodge,Intrepid,1996,Fuscia,Indigo,279592
WVGEG9BPXDD137098,Ford,Aerostar,1993,Blue,Violet,149365
WAUSH78E98A975156,Mazda,Tribute,2003,Indigo,Goldenrod,57544
WAUEFBFL5AN822036,Chevrolet,APV,1993,Teal,Pink,311680
1FTWF3D53AE124331,BMW,7 Series,1993,Violet,Turquoise,184683
WAU3VAFR7CA534697,Lotus,Esprit,1998,Red,Goldenrod,317862
19UUA766X7A848105,Honda,Fit,2009,Teal,Mauv,162906
KMHGH4JH9FU705296,Hyundai,Santa Fe,2005,Purple,Crimson,94204
3C3CFFAR3DT982731,GMC,Vandura 3500,1993,Green,Turquoise,257924
3N1CE2CP7EL194512,Ford,E350,2008,Teal,Puce,279735
1N4CL2AP4AC855902,Toyota,Prius,2010,Green,Green,312907
JH4CU2F66AC468533,Lincoln,Continental Mark VII,1991,Crimson,Orange,259670
WA1YD54BX2N037444,Chevrolet,S10 Blazer,1992,Turquoise,Indigo,264254
NM0KS7AN9AT333140,Volkswagen,Passat,1995,Aquamarine,Orange,111691
KNAFK4A64F5625654,Mitsubishi,Mighty Max,1996,Blue,Khaki,255889
1GYS4CEF8CR112907,Subaru,Legacy,2004,Turquoise,Maroon,214411
WBA3N7C52EK260696,Chevrolet,Silverado 3500,2006,Maroon,Khaki,167638
WBXPA73485W050235,Mazda,MX-5,2011,Khaki,Maroon,168873
JN1AZ4EH4FM424205,Honda,CR-V,2005,Goldenrod,Orange,282062
2G4GU5GV3D9865375,Volvo,XC70,2012,Purple,Aquamarine,233929
JN1CV6AP8AM186204,Oldsmobile,Alero,2001,Maroon,Mauv,165617
1FTEW1CM5CK474444,Porsche,Cayenne,2011,Puce,Pink,64562
1VWAP7A33EC384084,Infiniti,EX,2011,Pink,Orange,40965
4USCN33452L696137,Ford,E350,2004,Teal,Goldenrod,296501
WBALY1C55ED624215,Volkswagen,riolet,1992,Aquamarine,Mauv,154174
JH4DC43561S755777,Peugeot,207,2006,Teal,Goldenrod,212279
WBA3B3G53FN191917,Pontiac,Sunfire,1995,Khaki,Crimson,33704
WAUSF98K49A965269,Volvo,V70,2005,Maroon,Red,3546
19UUA65626A114083,Saab,9-5,2002,Puce,Fuscia,173737
5TDBW5G14ES036880,BMW,6 Series,2004,Goldenrod,Fuscia,141708
3FAHP0CG3CR426668,Mercedes-Benz,CLK-Class,2008,Pink,Mauv,274570
WDCYC3HF4CX065704,Toyota,TundraMax,2011,Indigo,Maroon,295417
WAUWMAFC5FN178128,Lotus,Elise,2009,Purple,Purple,184187
WAUGFAFR6BA194780,Citroën,CX,1989,Indigo,Turquoise,232018
WVGEF9BP2FD882997,Chevrolet,2500,1994,Turquoise,Maroon,47004
WDDHH8JB5FB400262,Jeep,Grand Cherokee,2009,Puce,Purple,82602
1FMJK1HT5FE223111,Toyota,4Runner,1999,Green,Aquamarine,231925
JN8AF5MR7FT100651,Porsche,Boxster,2010,Mauv,Khaki,186625
1FTEW1CF3FF162489,Chevrolet,Express 1500,2001,Mauv,Purple,52925
WAUWFAFR9BA828983,Aston Martin,V8 Vantage,2006,Orange,Aquamarine,297769
WBABN33443P842617,Plymouth,Voyager,1995,Red,Teal,121149
1G6DJ8EGXA0977475,Chevrolet,G-Series G30,1993,Orange,Orange,185933
JTHBK1GG8D2374800,Volkswagen,Fox,1991,Blue,Yellow,179920
JTDKN3DU1F0799692,GMC,Sierra,2009,Crimson,Mauv,320485
WAUHFBFL1CN650829,Volvo,960,1996,Mauv,Pink,78056
JH4DC44691S994554,Volvo,XC70,2006,Orange,Red,295985
WBAET37424N479843,GMC,Envoy XL,2003,Aquamarine,Teal,231580
5J8TB3H57GL159522,Lexus,RX Hybrid,2008,Crimson,Blue,297552
5GADS13S572577735,Subaru,Forester,2005,Teal,Purple,164577
JN8AE2KP2B9478581,Ford,Thunderbird,1984,Aquamarine,Yellow,103434
1N4AB7APXDN203365,Mitsubishi,Montero,1994,Crimson,Mauv,137603
SCFFDCCD8BG999543,Ferrari,F430,2006,Purple,Aquamarine,300408
1GYFK13239R313845,Chrysler,Cirrus,2000,Pink,Violet,47246
1FAHP2DW5CG553284,Suzuki,Swift,1987,Purple,Fuscia,184991
1FA6P0H79F5875537,Mitsubishi,Precis,1990,Purple,Khaki,221834
WAUFGAFC6EN015770,Buick,Coachbuilder,1994,Teal,Red,51468
WBAYM9C53DD860943,Mazda,Mazda5,2008,Goldenrod,Blue,7664
1G6DH5E59C0970495,Toyota,MR2,1985,Khaki,Teal,159455
WBA3C3C58FK355957,Acura,Integra,1996,Teal,Khaki,115306
WAUEF98E37A733606,Chevrolet,Venture,2004,Fuscia,Maroon,311712
WBAAZ33453K661409,Mitsubishi,Montero,1992,Mauv,Khaki,98261
5N1AT2MK8FC703822,Chevrolet,Silverado 2500,2012,Khaki,Puce,163445
1FTEX1CM9DK947857,BMW,M,2001,Green,Purple,70975
WA1CV94L57D395541,Honda,Prelude,1997,Blue,Yellow,113699
WAUAFAFH1AN964601,Lexus,GS,2003,Khaki,Yellow,21962
1G4HP54KX1U053205,Ford,Explorer,2007,Aquamarine,Aquamarine,324756
JHMZF1C68FS422976,Toyota,Matrix,2008,Purple,Fuscia,279223
19XFB4F20DE273943,BMW,5 Series,2011,Goldenrod,Violet,63596
WA1CGBFE3BD673832,BMW,X5,2008,Turquoise,Mauv,198911
1G6YX36D075062475,Honda,Fit,2007,Fuscia,Teal,26522
1D7RW3BK4BS377420,Saturn,Aura,2008,Yellow,Yellow,94023
WA1LMAFE2AD802631,Ford,Explorer Sport Trac,2007,Teal,Pink,75921
1G6DN8EV1A0401874,Bentley,Continental GT,2007,Fuscia,Goldenrod,52796
WAU4FBFL4CA849783,Acura,MDX,2003,Teal,Blue,147090
YV1672MC0DJ417599,Chevrolet,Corvette,2004,Violet,Indigo,201331
SCFFBCCDXAG225945,Aston Martin,DB9,2005,Maroon,Red,193477
2C3CDXCT0FH272833,Chevrolet,Corvette,1964,Fuscia,Turquoise,300417
2C3CDYCJ1DH302911,Mitsubishi,Montero Sport,2004,Puce,Turquoise,40212
5J8TB18508A696752,Suzuki,Forenza,2008,Teal,Mauv,111338
WAUJC58E82A713344,Nissan,Murano,2010,Pink,Goldenrod,222807
2G4GV5GV1D9048547,Infiniti,EX,2009,Khaki,Red,188927
5J8TB1H53CA114622,Jeep,Compass,2008,Pink,Blue,318409
WAU4FBFL8CA779818,Buick,Century,1991,Fuscia,Mauv,59744
SALWR2TF5FA506351,Toyota,Sienna,2008,Blue,Aquamarine,206103
SCBGT3ZA9FC208343,Lamborghini,Countach,1990,Fuscia,Indigo,252598
1N6AA0CA2AN934197,Pontiac,Sunbird,1993,Goldenrod,Indigo,17925
WBA4C9C56FG750472,Pontiac,6000,1985,Turquoise,Puce,312189
1G4PP5SK9F4359981,Suzuki,XL7,2007,Purple,Aquamarine,295149
JN1AZ4EH8CM224942,Cadillac,STS,2007,Red,Crimson,256948
WAUUL98E17A737996,Jaguar,X-Type,2008,Pink,Khaki,95024
WAUEG78E96A281693,Mercedes-Benz,S-Class,2010,Mauv,Maroon,65478
YV1672MK3D2498535,Mitsubishi,Lancer,2011,Khaki,Orange,159539
5TFCM5F14AX111013,Chevrolet,Monte Carlo,1998,Orange,Puce,205283
1VWAP7A34EC558003,Dodge,Neon,2004,Green,Maroon,167854
JTJBARBZ2F2904853,Lexus,RX,2004,Khaki,Indigo,250444
2T1BU4EE9DC096327,Scion,xD,2010,Blue,Turquoise,100648
WBA6A0C52FD854114,Scion,xB,2012,Purple,Indigo,322399
JN1BY1AR8FM715603,Cadillac,DeVille,1994,Khaki,Mauv,206799
WBAEK13466C238010,Cadillac,Seville,1996,Crimson,Fuscia,114023
1J4NF1GB4AD300582,Pontiac,Bonneville,1988,Purple,Pink,45155
5FNRL5H22CB957110,Citroën,SM,1972,Pink,Puce,170049
WAUDF68E45A882243,Aston Martin,DB9 Volante,2006,Yellow,Goldenrod,288305
1FTEX1CM6BF500571,Audi,Q7,2007,Green,Pink,261116
3C63DPML8CG772512,Chevrolet,Suburban 2500,1999,Purple,Maroon,158032
WBXPC93478W109379,Acura,RL,2005,Teal,Violet,206601
1G6DM577680973310,Dodge,Journey,2009,Purple,Teal,46139
WAUKF98P59A286882,Bentley,Continental Super,2011,Orange,Crimson,101149
1FT7W2A69EE531376,Honda,Odyssey,2001,Turquoise,Aquamarine,91213
5FRYD4H86FB202181,Acura,TSX,2005,Mauv,Puce,244567
WA1WKBFP2AA248096,Toyota,Sequoia,2007,Turquoise,Aquamarine,106429
WAUWFBFL9BA398826,Acura,TSX,2005,Puce,Blue,68949
WBADT63402C335848,Mercedes-Benz,C-Class,2006,Indigo,Khaki,66401
WAUXL58E44A417718,Nissan,Sentra,1998,Khaki,Orange,221630
WAUKFBFL6EN388525,Audi,A8,2011,Teal,Red,268141
1G6DS8ED9B0563933,Hyundai,Santa Fe,2008,Indigo,Pink,153738
KL4CJCSB0DB669397,Chevrolet,Tahoe,2008,Turquoise,Purple,86345
WBAUT93539A009011,Cadillac,SRX,2008,Yellow,Turquoise,313233
3VWML7AJ0DM196837,Buick,Coachbuilder,1995,Goldenrod,Blue,61688
4JGBF2FE4CA613061,Audi,A6,2010,Maroon,Violet,197208
WAUKG78E05A301251,Chrysler,Town & Country,2004,Orange,Blue,23171
1FTNS2EW6AD113449,Oldsmobile,Cutlass Supreme,1993,Blue,Violet,166802
WAULD54B63N692280,Subaru,Leone,1986,Goldenrod,Red,187781
WDDHF0EB5EA871365,Mercury,Lynx,1985,Red,Orange,178392
SCFAD06DX9G437108,Audi,A5,2011,Mauv,Maroon,245262
1GYFK13229R879298,Cadillac,Escalade EXT,2010,Fuscia,Goldenrod,316782
1N6AA0CJ0FN179543,Plymouth,Voyager,1996,Fuscia,Mauv,294694
WA1YD64B42N514486,Volvo,S80,1999,Teal,Puce,52754
WAUAF98E76A935099,Ford,Expedition,2011,Blue,Pink,175171
JN1CV6EK6CM161528,Hyundai,Entourage,2008,Crimson,Goldenrod,111016
1G6YX36D665473085,Ford,F350,2012,Yellow,Aquamarine,34630
WBXPA93414W496415,Chevrolet,Silverado,2006,Turquoise,Green,179937
WAUMFAFR0EA766515,Mitsubishi,Chariot,1991,Yellow,Aquamarine,308966
19UYA426X2A833389,BMW,325,2005,Turquoise,Yellow,28022
3D7TP2CTXAG888222,Suzuki,Swift,1987,Purple,Red,313590
3D7TP2HT0AG082172,Chevrolet,Express 2500,2009,Purple,Green,220011
WBAEW53465P882142,Cadillac,Escalade,2006,Mauv,Pink,149760
JTHBE5C27A5410446,GMC,2500 Club Coupe,1992,Goldenrod,Fuscia,22728
JN8AF5MR4CT532402,Chevrolet,Corvette,1984,Fuscia,Crimson,35631
3D7LP2ET3BG117325,Ford,F150,2000,Goldenrod,Purple,47781
1GT02ZCG2EF730892,GMC,Suburban 2500,1996,Indigo,Fuscia,40126
2C3CCARG7EH216655,Ford,Mustang,1980,Blue,Green,169158
WA1DKBFP4BA936934,Pontiac,Bonneville,1964,Khaki,Maroon,113331
WBAVT13536K817984,Subaru,Legacy,2011,Indigo,Green,210361
5UXZW0C50C0692115,BMW,M,2002,Blue,Blue,303612
WAULT68E42A433595,Mercedes-Benz,600SEL,1992,Green,Pink,170349
SCFAB01A56G754504,Mercury,Cougar,1986,Indigo,Purple,127475
3GYFNDE30ES240004,Porsche,Carrera GT,2005,Mauv,Violet,125575
WAUVT58E84A301560,BMW,X6 M,2013,Puce,Aquamarine,322706
JTHCL5EF0F5063057,Ford,Econoline E350,1993,Red,Aquamarine,291294
2FMGK5C88FB120670,Saturn,S-Series,1996,Indigo,Mauv,10790
SCBZB25E42C356943,Maserati,Quattroporte,2008,Fuscia,Goldenrod,309748
1GYFK43868R300933,Jeep,Wrangler,1997,Blue,Blue,93926
1FMEU3DE9AU536546,Mitsubishi,Starion,1984,Orange,Yellow,304265
WBAEN33433P607171,GMC,Safari,1993,Blue,Yellow,127879
3N1CN7AP2DL943778,Mercury,Mariner,2007,Maroon,Mauv,38208
WAUVC68E65A563911,Buick,Skylark,1992,Puce,Crimson,112568
3GYT4NEF5CG046493,Land Rover,Range Rover,2006,Aquamarine,Violet,126565
1HGCP2E81AA023089,Pontiac,1000,1986,Violet,Crimson,15147
WAULC68E42A272052,Mercedes-Benz,W126,1981,Teal,Goldenrod,2368
4T1BF3EK5BU885225,Mercury,Cougar,1993,Red,Khaki,129287
SAJWA0FB8CL258268,Pontiac,Torrent,2007,Yellow,Pink,319232
KNAFX5A80E5482340,Mercedes-Benz,C-Class,1997,Fuscia,Khaki,136318
WAUWKAFR9AA357265,Kia,Spectra,2002,Pink,Purple,51190
2LMDJ6JC5AB594059,Lexus,RX,2013,Blue,Green,240609
5N1AZ2MG2FN024630,Alfa Romeo,Spider,1992,Yellow,Turquoise,87316
WA1LFBFP4EA178422,Ford,Mustang,2003,Violet,Turquoise,266075
WBAEV53493K197856,Mazda,Familia,1991,Indigo,Green,6913
JHMFA3F24AS942297,Mazda,MX-5,2000,Maroon,Turquoise,100171
WAUBNBFB1BN439189,GMC,Sierra,2009,Indigo,Violet,133676
1N6AD0CU3CN074458,Land Rover,Range Rover,2002,Green,Orange,187825
WAUDN94F48N092697,Chevrolet,Corvette,1993,Red,Goldenrod,33376
3N1AB6AP7AL193686,Audi,A6,2007,Mauv,Goldenrod,179483
JTEBU5JR4E5510283,GMC,Savana 2500,1998,Green,Red,121429
1GYS4AEF4DR374025,Honda,Insight,2003,Maroon,Maroon,240363
2T2BK1BA6DC438110,Oldsmobile,Bravada,1993,Mauv,Green,110995
JN1AZ4FH7FM051904,Ford,E-Series,1993,Indigo,Violet,167130
WAULC58E14A006954,Mercedes-Benz,S-Class,1992,Indigo,Maroon,77799
1G6YV36A565616863,Porsche,Cayenne,2013,Red,Teal,246246
WBAPM73519A189507,Honda,Civic GX,2003,Orange,Yellow,181526
JM1BL1K56B1200330,BMW,Z4 M Roadster,2009,Crimson,Violet,194817
3C4PDCDG4DT073294,Ford,Falcon,1966,Mauv,Blue,97524
1G6KD57Y16U484951,Pontiac,Bonneville,2003,Green,Yellow,209588
WBA3B1C56DF505304,Mitsubishi,3000GT,1993,Khaki,Green,128373
1C4NJCBA9DD619737,Mercedes-Benz,M-Class,2011,Indigo,Crimson,314434
5UXFF03599L863938,Ford,Five Hundred,2006,Pink,Goldenrod,148389
2C3CCAKG3EH743070,Maserati,GranTurismo,2009,Purple,Blue,3899
WAUKF68E05A142969,Dodge,Viper,2009,Blue,Aquamarine,178231
JN1BY1PP0FM286401,Ford,F250,2005,Yellow,Khaki,284334
WBA5A5C55FD397632,Chevrolet,Cavalier,2005,Goldenrod,Maroon,49951
5J8TB3H54GL953572,Ford,F250,2011,Orange,Goldenrod,163960
WBA3C1G52EN273685,Cadillac,Escalade ESV,2010,Fuscia,Turquoise,24785
WAUDF78E68A709477,Buick,Roadmaster,1993,Goldenrod,Turquoise,200112
JN8AZ2KR6AT477201,Ford,Thunderbird,1991,Crimson,Turquoise,40220
2HNYD18754H396873,Bentley,Continental GT,2012,Khaki,Fuscia,282455
WBAPK7C55AA005177,Mazda,CX-9,2010,Green,Fuscia,243176
3GYFNGE39ES734315,Audi,A5,2009,Yellow,Maroon,301682
1GD01ZCG6DF381023,Infiniti,M,2011,Indigo,Red,235382
1G6AR5S35F0606517,Chevrolet,Avalanche,2006,Purple,Fuscia,154789
19XFA1F39AE736636,Toyota,Venza,2013,Violet,Indigo,170038
WAUGFAFC7DN549706,Ford,Windstar,2000,Goldenrod,Crimson,301197
1GKS1AE0XCR163974,Ford,Expedition,2009,Khaki,Yellow,9812
4USBT33414L148382,Hyundai,Sonata,2012,Blue,Puce,38299
JTDKN3DU2B0014820,Acura,RL,1999,Orange,Goldenrod,227793
1G6KY54992U230724,GMC,Safari,2001,Pink,Goldenrod,243161
WBALL5C50DE112800,Buick,LaCrosse,2008,Maroon,Green,192819
1G4GA5GR0EF286526,Honda,Odyssey,1997,Violet,Pink,57609
1NXBU4EE0AZ420792,Pontiac,Bonneville,1965,Green,Teal,209022
5TFCM5F15AX627803,Toyota,Tercel,1994,Aquamarine,Red,261670
JH4CU2F65AC209399,Nissan,Altima,2006,Pink,Turquoise,60885
WAUEV94F47N197758,Mitsubishi,Chariot,1992,Orange,Blue,206997
JTHBE1BL4D5270413,Hyundai,Sonata,2010,Fuscia,Maroon,106237
3C4PDCDG5DT681552,Audi,90,1989,Goldenrod,Purple,108387
1G6DP577870103239,Bentley,Continental GTC,2008,Goldenrod,Crimson,208191
WBAKA8C54AC698282,Mazda,MPV,2006,Teal,Orange,167320
4T1BF1FKXFU695400,Mazda,626,1988,Khaki,Violet,139693
1FTSX2B5XAE420830,Volkswagen,Golf,2000,Turquoise,Turquoise,7140
JN8BS1MW5EM119867,Lincoln,Town Car,2002,Goldenrod,Goldenrod,259895
WUALNAFG5EN236651,Land Rover,Sterling,1991,Orange,Khaki,260625
5FRYD4H92GB237083,Acura,NSX,1997,Orange,Fuscia,81960
3VW467AT4DM618147,Chevrolet,Corvette,1962,Maroon,Aquamarine,134676
1GYFC23219R201709,Honda,Pilot,2010,Green,Khaki,61142
WP0CB2A83CS932998,Toyota,RAV4,2001,Blue,Aquamarine,307938
1GYEK63N75R165244,Subaru,Outback,2007,Teal,Puce,23325
5UXFG43538L139083,Chevrolet,Express 2500,1996,Violet,Purple,67597
3D73Y4CL7AG071220,Kia,Sedona,2012,Blue,Aquamarine,134732
1FAHP2DW2BG259307,Saturn,Outlook,2010,Violet,Maroon,120315
1N6AA0CC9AN487000,Mercury,Grand Marquis,2000,Aquamarine,Teal,98221
1GYS3BEF8ER392814,Subaru,Impreza,1998,Green,Violet,168132
3VW517AT9FM357295,Ford,F450,2011,Fuscia,Purple,77256
1FTEW1CF1FF617016,Isuzu,Axiom,2002,Crimson,Purple,306864
19XFB4F20EE485663,Volkswagen,rio,2002,Orange,Pink,61544
1FTNS2EW4AD776633,Mazda,Millenia,2000,Aquamarine,Yellow,318233
1G4PN5SK1C4016941,Mazda,B-Series Plus,2001,Mauv,Yellow,297654
JA4AP3AUXCZ768095,Dodge,Ram Van 1500,1998,Aquamarine,Blue,83765
WBAWL73567P640018,Mazda,MX-5,2008,Green,Goldenrod,25739
5N1AT2MK6EC912183,Land Rover,Defender 90,1994,Pink,Turquoise,154476
WAUSH98E97A852550,Chevrolet,Malibu,2011,Aquamarine,Teal,133294
4T1BF1FK1EU680444,GMC,Jimmy,1999,Pink,Khaki,22055
WAUKH94F18N186552,Ford,E150,2006,Aquamarine,Violet,293997
1G6AB5RX6E0821268,Subaru,Legacy,2000,Fuscia,Crimson,274344
4T1BF3EK2BU291823,Audi,R8,2012,Green,Red,22136
4JGDF2EE9EA269580,Jaguar,XK Series,2002,Teal,Indigo,73856
WP1AA2A26CL255554,Volvo,S60,2007,Purple,Purple,297685
19UUA76608A887643,GMC,Sierra 3500,2000,Aquamarine,Khaki,297836
1C6RD7JT2CS102672,Mazda,MPV,2000,Violet,Blue,136186
WBAKF5C54BE782544,Saturn,Ion,2007,Aquamarine,Purple,71295
WAUYGBFC8CN901861,GMC,Savana 3500,1996,Teal,Teal,34499
1ZVBP8AM9C5265301,Lotus,Esprit,2001,Teal,Mauv,90047
3HGGK5G50FM832307,Nissan,Titan,2006,Purple,Orange,275070
5UXFG8C56DL160673,Ford,Explorer Sport Trac,2009,Turquoise,Crimson,91675
1G6DP1E35D0032750,Bentley,Arnage,2009,Fuscia,Khaki,33083
1C4PJLAB7FW530369,Porsche,Boxster,2003,Teal,Purple,62902
2C3CDXL9XFH808899,Ford,Probe,1990,Fuscia,Violet,241722
KMHHU6KJ3FU178272,Suzuki,Swift,1987,Aquamarine,Fuscia,66402
WP0AA2A92CS926581,Toyota,T100,1995,Violet,Purple,122751
WAU4FAFL4CA244124,Chevrolet,Lumina APV,1992,Khaki,Khaki,116983
1N6AA0EK0FN964652,Volvo,940,1992,Blue,Khaki,260054
2G4GS5EV0D9558951,Saab,900,1986,Violet,Khaki,64008
WBAPK7C55AA455976,Bentley,Continental GT,2008,Red,Mauv,81202
1FTDS3EL9AD677605,BMW,7 Series,1992,Fuscia,Orange,196978
WA1CMAFE7AD462943,Porsche,Boxster,1998,Yellow,Teal,114598
WVGAV7AX9CW106406,Mitsubishi,Challenger,2002,Blue,Yellow,166478
WA1CM74L39D106747,Dodge,Ram 2500 Club,1995,Red,Blue,7765
2G4GS5GX3F9717088,Pontiac,Sunbird,1989,Yellow,Fuscia,137666
SCFHDDAT0EG813278,Ford,F-Series,1995,Maroon,Purple,102847
JH4NA21681T231308,BMW,Z8,2003,Aquamarine,Puce,146239
19VDE3F37DE368106,Saab,9-3,2000,Teal,Aquamarine,191606
WVGEF9BP6FD046139,Mercedes-Benz,300SE,1992,Goldenrod,Crimson,311293
1GYS3TKJXFR703353,Rolls-Royce,Ghost,2010,Crimson,Indigo,155798
WBADS43432G618650,Oldsmobile,Bravada,1994,Fuscia,Red,225963
SCBCR63W04C202964,Lexus,LX,2002,Green,Khaki,176610
JN1BJ0HP5EM395061,Buick,LeSabre,1992,Blue,Fuscia,87233
WAUHE98P39A174983,GMC,Savana 1500,2009,Orange,Orange,268973
1N6AF0LX7FN042590,Bentley,Continental,2012,Puce,Khaki,78681
WAUPL68E44A328429,Pontiac,Bonneville,1966,Blue,Maroon,276669
JN1CV6APXCM073051,Ford,F150,1996,Indigo,Purple,79314
2T1BURHE4EC326933,Dodge,Avenger,1999,Violet,Pink,209074
WAUHE78P98A232839,Hyundai,Elantra,2008,Green,Green,138102
2V4RW3DG0BR438465,Land Rover,Discovery,2005,Yellow,Orange,223065
2G4WC582171191104,Dodge,Dakota Club,1996,Red,Turquoise,71172
1FTEX1CW1AF925535,Buick,LeSabre,1998,Yellow,Puce,92311
4T1BF1FK1CU234954,Toyota,Sienna,2010,Fuscia,Blue,262904
JH4CU4F46AC490574,Pontiac,G6,2009,Orange,Violet,41250
